media_type,file_path,actual_label,predicted_label,confidence,pass,error
image,E:\FakeDetection\raw_datasets\image\test\real\real_007590.jpg,real,fake,83.35,False,
image,E:\FakeDetection\raw_datasets\image\test\real\real_016073.jpg,real,real,93.85,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_013100.jpg,real,real,95.21,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_005188.jpg,real,real,94.81,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_012621.jpg,real,real,80.18,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_006558.jpg,real,real,95.05,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_9479.jpg,real,real,95.26,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_6282.jpg,real,real,95.2,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_011210.jpg,real,real,95.61,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_001397.jpg,real,real,95.27,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_1348.jpg,real,real,94.75,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_826.jpg,real,real,94.63,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_010208.jpg,real,real,95.14,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_3233.jpg,real,real,75.47,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_002232.jpg,real,real,95.18,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_000488.jpg,real,real,95.14,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_013885.jpg,real,real,95.44,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_016056.jpg,real,real,94.96,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_006681.jpg,real,real,95.1,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_8287.jpg,real,fake,93.3,False,
image,E:\FakeDetection\raw_datasets\image\test\real\real_7374.jpg,real,real,87.97,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_002945.jpg,real,real,95.21,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_000638.jpg,real,real,95.01,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_7855.jpg,real,real,94.68,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_7579.jpg,real,real,94.8,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_752.jpg,real,real,94.86,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_6820.jpg,real,real,94.82,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_2538.jpg,real,real,95.27,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_6162.jpg,real,real,95.85,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_012437.jpg,real,real,94.22,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_004357.jpg,real,real,94.41,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_004162.jpg,real,real,94.74,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_6414.jpg,real,real,95.56,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_8267.jpg,real,real,94.34,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_015438.jpg,real,real,94.72,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_84.jpg,real,real,95.53,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_012634.jpg,real,real,94.53,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_3175.jpg,real,real,95.28,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_016325.jpg,real,real,95.31,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_016059.jpg,real,real,95.04,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_015354.jpg,real,real,94.88,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_3774.jpg,real,real,95.08,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_005171.jpg,real,real,94.93,True,
image,E:\FakeDetection\raw_datasets\image\test\real\real_1961.jpg,real,real,93.87,True,
